2023-11-23 10:23:57.233324
1
AccelX,0.013
AccelY,-0.003
AccelZ,1.018
GyroX,-0.298
GyroY,0.210
GyroZ,0.000

2
AccelX,0.014
AccelY,-0.002
AccelZ,1.021
GyroX,-0.262
GyroY,0.228
GyroZ,0.035

3
AccelX,0.013
AccelY,-0.003
AccelZ,1.020
GyroX,-0.228
GyroY,0.280
GyroZ,0.175

4
AccelX,0.012
AccelY,-0.003
AccelZ,1.018
GyroX,-0.280
GyroY,0.228
GyroZ,0.105

5
AccelX,0.014
AccelY,0.000
AccelZ,1.018
GyroX,-0.192
GyroY,0.210
GyroZ,0.035

6
AccelX,0.011
AccelY,-0.002
AccelZ,1.019
GyroX,-0.228
GyroY,0.210
GyroZ,0.298

7
AccelX,0.011
AccelY,-0.001
AccelZ,1.019
GyroX,-0.315
GyroY,0.228
GyroZ,-0.052

8
AccelX,0.013
AccelY,-0.002
AccelZ,1.020
GyroX,-0.298
GyroY,0.105
GyroZ,0.018

9
AccelX,0.014
AccelY,-0.001
AccelZ,1.017
GyroX,-0.228
GyroY,0.245
GyroZ,0.123

10
AccelX,0.012
AccelY,-0.002
AccelZ,1.017
GyroX,-0.280
GyroY,0.228
GyroZ,0.140

11
AccelX,0.012
AccelY,-0.002
AccelZ,1.020
GyroX,-0.210
GyroY,0.228
GyroZ,0.087

12
AccelX,0.013
AccelY,-0.000
AccelZ,1.017
GyroX,-0.228
GyroY,0.175
GyroZ,0.123

13
AccelX,0.013
AccelY,-0.001
AccelZ,1.019
GyroX,-0.245
GyroY,0.210
GyroZ,0.035

14
AccelX,0.013
AccelY,-0.002
AccelZ,1.019
GyroX,-0.262
GyroY,0.228
GyroZ,0.123

15
AccelX,0.011
AccelY,-0.003
AccelZ,1.018
GyroX,-0.280
GyroY,0.210
GyroZ,0.035

16
AccelX,0.014
AccelY,-0.002
AccelZ,1.019
GyroX,-0.262
GyroY,0.298
GyroZ,0.035

17
AccelX,0.012
AccelY,-0.002
AccelZ,1.020
GyroX,-0.298
GyroY,0.210
GyroZ,0.018

18
AccelX,0.016
AccelY,-0.003
AccelZ,1.021
GyroX,-0.210
GyroY,0.228
GyroZ,0.228

19
AccelX,0.010
AccelY,-0.003
AccelZ,1.019
GyroX,-0.298
GyroY,0.157
GyroZ,0.035

20
AccelX,0.013
AccelY,0.000
AccelZ,1.019
GyroX,-0.280
GyroY,0.192
GyroZ,0.035

21
AccelX,0.011
AccelY,-0.001
AccelZ,1.021
GyroX,-0.368
GyroY,0.228
GyroZ,0.052

22
AccelX,0.015
AccelY,0.001
AccelZ,1.019
GyroX,-0.298
GyroY,0.245
GyroZ,0.018

23
AccelX,0.013
AccelY,-0.003
AccelZ,1.017
GyroX,-0.210
GyroY,0.245
GyroZ,0.018

24
AccelX,0.011
AccelY,-0.003
AccelZ,1.020
GyroX,-0.192
GyroY,0.210
GyroZ,0.035

25
AccelX,0.010
AccelY,0.001
AccelZ,1.018
GyroX,-0.333
GyroY,0.280
GyroZ,0.105

26
AccelX,0.014
AccelY,-0.001
AccelZ,1.018
GyroX,-0.210
GyroY,0.175
GyroZ,0.052

27
AccelX,0.012
AccelY,-0.001
AccelZ,1.020
GyroX,-0.298
GyroY,0.228
GyroZ,0.123

28
AccelX,0.012
AccelY,-0.001
AccelZ,1.020
GyroX,-0.228
GyroY,0.262
GyroZ,0.052

29
AccelX,0.014
AccelY,-0.002
AccelZ,1.020
GyroX,-0.298
GyroY,0.228
GyroZ,0.105

30
AccelX,0.012
AccelY,-0.001
AccelZ,1.020
GyroX,-0.280
GyroY,0.192
GyroZ,0.105

31
AccelX,0.013
AccelY,-0.003
AccelZ,1.019
GyroX,-0.210
GyroY,0.210
GyroZ,0.157

32
AccelX,0.011
AccelY,-0.004
AccelZ,1.019
GyroX,-0.280
GyroY,0.192
GyroZ,0.105

33
AccelX,0.011
AccelY,-0.002
AccelZ,1.018
GyroX,-0.262
GyroY,0.192
GyroZ,0.052

34
AccelX,0.012
AccelY,-0.002
AccelZ,1.018
GyroX,-0.298
GyroY,0.175
GyroZ,0.192

35
AccelX,0.013
AccelY,-0.002
AccelZ,1.019
GyroX,-0.333
GyroY,0.210
GyroZ,0.070

36
AccelX,0.013
AccelY,-0.005
AccelZ,1.017
GyroX,-0.385
GyroY,0.245
GyroZ,0.105

37
AccelX,0.013
AccelY,0.000
AccelZ,1.019
GyroX,-0.333
GyroY,0.210
GyroZ,0.070

38
AccelX,0.013
AccelY,-0.004
AccelZ,1.020
GyroX,-0.262
GyroY,0.140
GyroZ,-0.018

39
AccelX,0.015
AccelY,-0.001
AccelZ,1.019
GyroX,-0.245
GyroY,0.192
GyroZ,0.070

40
AccelX,0.013
AccelY,-0.001
AccelZ,1.019
GyroX,-0.262
GyroY,0.175
GyroZ,0.140

41
AccelX,0.010
AccelY,-0.002
AccelZ,1.018
GyroX,-0.298
GyroY,0.157
GyroZ,0.052

42
AccelX,0.015
AccelY,0.001
AccelZ,1.020
GyroX,-0.280
GyroY,0.157
GyroZ,0.105

43
AccelX,0.012
AccelY,-0.000
AccelZ,1.021
GyroX,-0.298
GyroY,0.210
GyroZ,0.052

44
AccelX,0.011
AccelY,-0.002
AccelZ,1.020
GyroX,-0.192
GyroY,0.228
GyroZ,0.175

45
AccelX,0.012
AccelY,-0.004
AccelZ,1.018
GyroX,-0.192
GyroY,0.315
GyroZ,0.157

46
AccelX,0.015
AccelY,-0.000
AccelZ,1.018
GyroX,-0.280
GyroY,0.228
GyroZ,0.123

47
AccelX,0.013
AccelY,0.000
AccelZ,1.019
GyroX,-0.280
GyroY,0.262
GyroZ,0.035

48
AccelX,0.013
AccelY,-0.002
AccelZ,1.017
GyroX,-0.315
GyroY,0.175
GyroZ,0.035

49
AccelX,0.014
AccelY,-0.002
AccelZ,1.018
GyroX,-0.262
GyroY,0.175
GyroZ,0.070

50
AccelX,0.014
AccelY,-0.001
AccelZ,1.018
GyroX,-0.298
GyroY,0.192
GyroZ,0.210

51
AccelX,0.012
AccelY,-0.001
AccelZ,1.019
GyroX,-0.245
GyroY,0.192
GyroZ,0.123

52
AccelX,0.011
AccelY,-0.002
AccelZ,1.019
GyroX,-0.315
GyroY,0.245
GyroZ,-0.035

53
AccelX,0.015
AccelY,-0.001
AccelZ,1.019
GyroX,-0.192
GyroY,0.175
GyroZ,0.192

54
AccelX,0.010
AccelY,-0.000
AccelZ,1.019
GyroX,-0.315
GyroY,0.245
GyroZ,0.140

55
AccelX,0.015
AccelY,-0.003
AccelZ,1.019
GyroX,-0.262
GyroY,0.245
GyroZ,0.087

56
AccelX,0.012
AccelY,-0.001
AccelZ,1.018
GyroX,-0.333
GyroY,0.157
GyroZ,-0.018

57
AccelX,0.012
AccelY,-0.002
AccelZ,1.017
GyroX,-0.315
GyroY,0.157
GyroZ,0.087

58
AccelX,0.014
AccelY,-0.002
AccelZ,1.018
GyroX,-0.228
GyroY,0.228
GyroZ,0.105

59
AccelX,0.011
AccelY,0.001
AccelZ,1.018
GyroX,-0.228
GyroY,0.262
GyroZ,0.157

60
AccelX,0.013
AccelY,0.001
AccelZ,1.020
GyroX,-0.368
GyroY,0.245
GyroZ,0.105

61
AccelX,0.012
AccelY,0.001
AccelZ,1.020
GyroX,-0.368
GyroY,0.175
GyroZ,0.000

62
AccelX,0.011
AccelY,-0.001
AccelZ,1.020
GyroX,-0.420
GyroY,0.210
GyroZ,-0.105

63
AccelX,0.014
AccelY,-0.002
AccelZ,1.020
GyroX,-0.420
GyroY,0.245
GyroZ,0.157

64
AccelX,0.012
AccelY,-0.000
