20240128_1656
timestamp,index,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2024-01-28 16:56:02.597229,error - no signal
2024-01-28 16:56:23.638356,error - no signal
2024-01-28 16:56:44.677416,error - no signal
2024-01-28 16:57:05.721349,error - no signal
2024-01-28 16:57:26.762531,error - no signal
2024-01-28 16:57:47.794480,error - no signal
2024-01-28 16:58:08.834076,error - no signal
2024-01-28 16:58:29.880612,error - no signal
2024-01-28 16:58:50.936422,error - no signal
2024-01-28 16:59:11.973664,error - no signal
2024-01-28 16:59:33.018452,error - no signal
2024-01-28 16:59:54.070747,error - no signal
